,age,gender,height_cm,weight_kg,body fat_%,diastolic,systolic,gripForce,sit and bend forward_cm,sit-ups counts,broad jump_cm,class
0,27.0,M,172.3,75.24,21.3,80.0,130.0,54.9,18.4,60.0,217.0,C
1,25.0,M,165.0,55.8,15.7,77.0,126.0,36.4,16.3,53.0,229.0,A
2,31.0,M,179.6,78.0,20.1,92.0,152.0,44.8,12.0,49.0,181.0,C
3,32.0,M,174.5,71.1,18.4,76.0,147.0,41.4,15.2,53.0,219.0,B
4,28.0,M,173.8,67.7,17.1,70.0,127.0,43.5,27.1,45.0,217.0,B
5,36.0,F,165.4,55.4,22.0,64.0,119.0,23.8,21.0,27.0,153.0,B
6,42.0,F,164.5,63.7,32.2,72.0,135.0,22.7,0.8,18.0,146.0,D
7,33.0,M,174.9,77.2,36.9,84.0,137.0,45.9,12.3,42.0,234.0,B
8,54.0,M,166.8,67.5,27.6,85.0,165.0,40.4,18.6,34.0,148.0,C
9,28.0,M,185.0,84.6,14.4,81.0,156.0,57.9,12.1,55.0,213.0,B
10,42.0,M,169.2,65.4,19.3,63.0,110.0,43.5,16.0,68.0,211.0,A
11,57.0,F,153.0,49.0,20.9,69.0,106.0,21.5,30.0,0.0,90.0,D
12,27.0,F,156.0,53.9,35.5,69.0,116.0,23.1,13.1,28.0,144.0,C
13,22.0,M,175.7,67.9,11.3,71.0,103.0,52.5,19.2,55.0,232.0,C
14,24.0,M,181.0,84.4,20.4,80.0,120.0,48.9,7.2,54.0,213.0,C
15,45.0,F,159.0,63.1,30.9,93.0,144.0,34.1,19.0,30.0,155.0,A
16,25.0,F,164.2,66.6,30.2,82.0,120.0,25.7,22.9,39.0,178.0,C
17,26.0,M,179.9,71.5,9.7,64.0,135.0,59.6,17.8,61.0,239.0,A
18,26.0,M,169.2,70.6,21.0,63.0,129.0,41.3,15.1,53.0,225.0,B
19,21.0,F,162.7,47.2,18.9,78.0,133.0,25.4,20.5,36.0,137.0,B
20,25.0,F,161.7,63.36,31.3,89.0,128.0,25.0,10.7,39.0,160.0,C
21,59.0,F,155.9,62.7,30.2,76.0,143.0,36.8,29.1,25.0,122.0,A
22,38.0,M,166.7,67.3,23.2,70.0,111.0,26.1,19.7,62.0,215.0,D
23,44.0,M,170.0,63.3,12.9,65.0,115.0,44.5,11.6,49.0,196.0,B
24,23.0,F,164.1,59.4,29.6,91.0,126.0,24.6,27.5,32.0,169.0,C
25,62.0,M,169.0,70.7,30.5,96.0,146.0,39.3,4.0,43.0,131.0,C
26,47.0,F,158.3,53.5,29.2,70.0,117.0,25.9,8.1,32.0,151.0,D
27,48.0,M,175.8,84.5,31.4,83.0,125.0,33.8,3.7,24.0,211.0,D
28,36.0,M,176.0,81.3,24.5,81.0,139.0,46.2,8.1,54.0,232.0,C
29,50.0,F,159.8,57.1,24.4,63.0,103.0,30.8,24.4,30.0,143.0,A
30,25.0,M,170.9,70.7,15.7,80.0,127.0,36.4,26.4,38.0,246.0,C
31,26.0,M,176.7,77.2,16.3,66.0,129.0,50.0,9.1,51.0,223.0,C
32,28.0,F,159.5,51.54,24.5,82.0,123.0,37.2,23.0,37.0,145.0,A
33,30.0,M,172.1,79.5,26.7,91.0,148.0,34.7,-2.0,40.0,192.0,D
34,49.0,F,151.5,52.0,27.6,77.0,144.0,23.8,21.3,39.0,154.0,B
35,40.0,M,177.6,88.6,20.3,93.0,138.0,51.5,12.1,54.0,224.0,C
36,21.0,M,172.5,66.4,12.5,82.0,130.0,51.2,6.3,46.0,178.0,D
37,31.0,M,177.5,79.5,23.0,90.0,148.0,51.2,18.4,62.0,208.0,A
38,32.0,M,178.0,84.5,21.2,68.0,130.0,52.3,16.2,62.0,232.0,A
39,27.0,M,177.6,79.7,22.8,59.0,108.0,48.0,1.8,59.0,219.0,D
40,42.0,M,168.0,61.0,14.9,94.0,151.0,28.9,1.0,32.0,230.0,D
41,52.0,M,173.6,84.9,30.3,93.0,144.0,42.0,9.0,43.0,185.0,D
42,39.0,M,173.3,69.8,23.8,76.0,137.0,40.0,18.2,38.0,227.0,C
43,33.0,F,159.6,60.5,32.1,62.0,106.0,21.9,22.2,24.0,129.0,C
44,25.0,F,161.8,57.7,21.7,74.0,115.0,29.3,26.6,50.0,190.0,A
45,31.0,M,169.9,73.1,19.2,97.0,145.0,45.0,14.5,37.0,249.0,D
46,34.0,M,183.6,76.82,16.3,80.0,120.0,46.3,14.2,55.0,220.0,B
47,26.0,M,172.1,66.1,24.9,62.0,102.0,19.9,-9.9,44.0,159.0,D
48,28.0,M,180.1,82.1,15.0,83.0,147.0,52.6,18.8,55.0,247.0,A
49,58.0,M,164.2,64.0,19.8,93.0,150.0,36.8,18.3,38.0,205.0,B
50,48.0,M,169.8,75.4,14.7,94.0,149.0,51.4,24.7,55.0,246.0,A
51,23.0,M,180.1,65.9,14.4,72.0,130.0,45.4,18.1,56.0,234.0,A
52,38.0,F,157.2,51.7,27.3,64.0,106.0,25.1,14.7,19.0,139.0,C
53,43.0,F,168.3,69.3,31.9,88.0,139.0,32.1,20.2,33.0,164.0,B
54,21.0,F,159.5,51.3,35.8,80.0,122.0,16.6,2.1,5.0,105.0,D
55,56.0,M,166.7,56.9,16.5,90.0,147.0,41.6,17.8,30.0,198.0,B
56,24.0,M,164.4,66.2,17.1,63.0,110.0,40.2,16.2,43.0,232.0,C
57,58.0,F,146.5,46.4,32.9,71.0,127.0,18.7,17.4,20.0,111.0,C
58,42.0,M,174.1,103.1,30.5,78.0,123.0,50.7,3.6,25.0,153.0,D
59,45.0,M,185.4,80.0,21.9,93.0,144.0,46.2,7.1,22.0,205.0,D
60,37.0,M,168.9,78.8,23.4,88.0,144.0,42.1,20.9,47.0,241.0,C
61,31.0,M,175.3,83.6,30.1,93.0,152.0,45.9,7.2,55.0,193.0,D
62,43.0,F,164.0,50.8,22.4,88.0,124.0,24.0,13.5,28.0,160.0,C
63,23.0,F,162.4,58.9,29.6,71.0,119.0,28.1,25.5,48.0,178.0,A
64,59.0,F,165.0,63.7,31.4,77.0,120.0,20.8,25.5,30.0,120.0,B
65,63.0,M,166.6,75.5,31.6,62.0,122.0,34.1,6.7,17.0,140.0,D
66,40.0,M,174.2,77.6,17.8,85.0,133.0,49.5,12.1,48.0,213.0,B
67,27.0,F,150.5,55.7,39.6,66.0,114.0,29.7,13.4,23.0,159.0,D
68,56.0,F,160.2,62.4,33.3,67.0,103.0,28.8,20.7,15.0,133.0,B
69,35.0,M,179.0,75.0,10.7,74.0,129.0,47.7,16.6,54.0,233.0,A
70,30.0,M,172.7,78.0,26.6,79.0,140.0,36.9,3.4,25.0,218.0,D
71,56.0,M,160.2,62.7,30.2,85.0,140.0,35.4,9.5,27.0,184.0,C
72,36.0,M,171.5,80.5,21.5,86.0,153.0,46.7,16.8,53.0,220.0,A
73,60.0,M,175.1,66.5,17.3,85.0,125.0,40.4,13.9,31.0,211.0,C
74,22.0,M,172.2,70.6,24.3,70.0,118.0,36.7,9.8,50.0,213.0,D
75,22.0,M,171.9,78.46,22.9,64.0,116.0,43.6,-9.3,46.0,219.0,D
76,37.0,M,174.0,75.2,18.5,82.0,142.0,39.7,20.5,50.0,224.0,B
77,21.0,F,158.1,53.6,27.63524,70.0,115.0,18.9,12.4,17.0,116.0,D
78,21.0,M,170.4,74.3,19.5,82.0,157.0,45.6,12.7,54.0,194.0,B
79,60.0,F,158.6,62.7,34.6,80.0,137.0,29.3,18.4,12.0,132.0,B
80,27.0,F,168.5,64.2,26.2,76.0,108.0,25.2,23.1,18.0,164.0,D
81,59.0,F,156.3,60.5,33.6,79.0,130.0,29.6,22.4,23.0,135.0,A
82,47.0,F,157.0,54.1,26.8,72.0,117.0,25.1,18.2,25.0,157.0,B
83,21.0,F,161.3,50.6,23.5,69.0,127.0,27.5,29.4,39.0,175.0,A
84,51.0,M,177.0,68.7,18.3,84.0,140.0,39.3,11.3,35.0,220.0,B
