,"citrus fruit,semi-finished bread,margarine,ready soups"
0,"tropical fruit,yogurt,coffee"
1,whole milk
2,"pip fruit,yogurt,cream cheese,meat spreads"
3,"other vegetables,whole milk,condensed milk,long life bakery product"
4,"whole milk,butter,yogurt,rice,abrasive cleaner"
5,rolls/buns
6,"other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer)"
7,potted plants
8,"whole milk,cereals"
9,"tropical fruit,other vegetables,white bread,bottled water,chocolate"
10,"citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes"
11,beef
12,"frankfurter,rolls/buns,soda"
13,"chicken,tropical fruit"
14,"butter,sugar,fruit/vegetable juice,newspapers"
15,fruit/vegetable juice
16,packaged fruit/vegetables
17,chocolate
18,specialty bar
19,other vegetables
20,"butter milk,pastry"
21,whole milk
22,"tropical fruit,cream cheese,processed cheese,detergent,newspapers"
23,"tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner"
24,"bottled water,canned beer"
25,yogurt
26,"sausage,rolls/buns,soda,chocolate"
27,other vegetables
28,"brown bread,soda,fruit/vegetable juice,canned beer,newspapers,shopping bags"
29,"yogurt,beverages,bottled water,specialty bar"
30,"hamburger meat,other vegetables,rolls/buns,spices,bottled water,hygiene articles,napkins"
31,"root vegetables,other vegetables,whole milk,beverages,sugar"
32,"pork,berries,other vegetables,whole milk,whipped/sour cream,artif. sweetener,soda,abrasive cleaner"
33,"beef,grapes,detergent"
34,"pastry,soda"
35,fruit/vegetable juice
36,canned beer
37,"root vegetables,other vegetables,whole milk,dessert"
38,"citrus fruit,zwieback,newspapers"
39,"sausage,rolls/buns,soda,canned beer,specialty bar,shopping bags"
40,"tropical fruit,root vegetables,whole milk,yogurt,domestic eggs,brown bread,pastry,sugar,cereals,coffee,soda,waffles,candy"
41,"berries,yogurt"
42,canned beer
43,"butter milk,yogurt,cream cheese,spread cheese,rolls/buns,bottled water,soda,newspapers"
44,coffee
45,"pastry,bottled water"
46,rolls/buns
47,misc. beverages
48,"root vegetables,other vegetables,butter,curd,whipped/sour cream,UHT-milk,hard cheese,rolls/buns,bottled water,long life bakery product"
49,"sausage,rolls/buns,cat food,newspapers"
50,canned beer
51,"ham,grapes,other vegetables,whole milk"
52,"turkey,tropical fruit,other vegetables,curd,domestic eggs,brown bread,semi-finished bread,margarine,baking powder,fruit/vegetable juice"
53,"whole milk,yogurt,processed cheese,pickled vegetables,soda"
54,"whole milk,curd,yogurt,pastry"
55,"packaged fruit/vegetables,brown bread,canned beer"
56,"rolls/buns,oil,bottled water,chewing gum,chocolate marshmallow,hygiene articles,napkins"
57,"ham,beef,whipped/sour cream,ice cream,rolls/buns,cat food"
58,"rolls/buns,pastry,sugar"
59,"other vegetables,whole milk,frozen vegetables,canned fish,salty snack,seasonal products,detergent"
60,"sausage,pastry"
61,"sausage,beef,whole milk"
62,"frankfurter,tropical fruit,rolls/buns,brown bread,sugar"
63,"rolls/buns,pastry,soda"
64,whole milk
65,"curd cheese,coffee"
66,"red/blush wine,newspapers"
67,"sausage,whole milk,curd"
68,"tropical fruit,pip fruit,berries,whole milk,frozen potato products,rolls/buns,pickled vegetables,chocolate"
69,red/blush wine
70,"whole milk,butter,margarine,specialty fat,specialty chocolate,candles,flower (seeds)"
71,"frankfurter,citrus fruit,whole milk,domestic eggs,oil,sparkling wine,specialty chocolate,newspapers"
72,"whole milk,meat spreads,soda"
73,frozen potato products
74,"other vegetables,whole milk,rolls/buns,sugar"
75,"citrus fruit,whole milk,curd,butter milk,pastry"
76,"flour,salt,bottled water,fruit/vegetable juice,bottled beer"
77,"sugar,bottled water,soda,bottled beer"
78,"frozen meals,coffee"
79,chocolate
80,"root vegetables,whole milk,frozen vegetables,domestic eggs,rolls/buns,oil,margarine,canned vegetables,fruit/vegetable juice,bathroom cleaner"
81,"root vegetables,onions,hard cheese,frozen vegetables"
82,"herbs,condensed milk,frozen vegetables,salt,oil,white wine,candles"
83,bottled water
84,"sausage,root vegetables,onions,yogurt,rolls/buns,brandy,detergent"
85,"coffee,newspapers"
86,"pork,other vegetables,whipped/sour cream"
87,"berries,yogurt"
88,soda
89,berries
90,"fruit/vegetable juice,salty snack,candles"
91,"citrus fruit,butter milk,yogurt,cream cheese"
92,"pork,hamburger meat,citrus fruit,berries,onions,whipped/sour cream,rice,coffee,chocolate"
93,detergent
94,"grapes,photo/film"
95,"sausage,sliced cheese,rolls/buns,brown bread,fruit/vegetable juice,canned beer,red/blush wine,waffles,shopping bags"
96,"chicken,hamburger meat,citrus fruit,tropical fruit,root vegetables,other vegetables,butter,pasta,oil,detergent"
